commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001493,동대문패션타운 관광특구,CHICKEN,THURSDAY,12,28380,4117,156,26.391,25.9018,101.89,0
3001493,동대문패션타운 관광특구,CHICKEN,FRIDAY,12,28380,4777,156,30.6218,25.9018,118.22,4
3001493,동대문패션타운 관광특구,CHICKEN,SATURDAY,12,28380,4530,156,29.0385,25.9018,112.11,2
3001493,동대문패션타운 관광특구,CHICKEN,SUNDAY,12,28380,3736,157,23.7962,25.9018,91.87,-2
3001493,동대문패션타운 관광특구,FAST_FOOD,MONDAY,12,1733569,217870,157,1387.707,1581.9945,87.72,-2
3001493,동대문패션타운 관광특구,FAST_FOOD,TUESDAY,12,1733569,247943,157,1579.2548,1581.9945,99.83,0
3001493,동대문패션타운 관광특구,FAST_FOOD,WEDNESDAY,12,1733569,257615,157,1640.8599,1581.9945,103.72,1
3001493,동대문패션타운 관광특구,FAST_FOOD,THURSDAY,12,1733569,259791,156,1665.3269,1581.9945,105.27,1
3001493,동대문패션타운 관광특구,FAST_FOOD,FRIDAY,12,1733569,270062,156,1731.1667,1581.9945,109.43,2
3001493,동대문패션타운 관광특구,FAST_FOOD,SATURDAY,12,1733569,256842,156,1646.4231,1581.9945,104.07,1
3001493,동대문패션타운 관광특구,FAST_FOOD,SUNDAY,12,1733569,223446,157,1423.2229,1581.9945,89.96,-2
3001493,동대문패션타운 관광특구,BUNSIK,MONDAY,12,2595901,364904,157,2324.2293,2368.6462,98.12,0
3001493,동대문패션타운 관광특구,BUNSIK,TUESDAY,12,2595901,385099,157,2452.8599,2368.6462,103.56,1
3001493,동대문패션타운 관광특구,BUNSIK,WEDNESDAY,12,2595901,394537,157,2512.9745,2368.6462,106.09,1
3001493,동대문패션타운 관광특구,BUNSIK,THURSDAY,12,2595901,395001,156,2532.0577,2368.6462,106.9,1
3001493,동대문패션타운 관광특구,BUNSIK,FRIDAY,12,2595901,396850,156,2543.9103,2368.6462,107.4,1
3001493,동대문패션타운 관광특구,BUNSIK,SATURDAY,12,2595901,337778,156,2165.2436,2368.6462,91.41,-2
3001493,동대문패션타운 관광특구,BUNSIK,SUNDAY,12,2595901,321732,157,2049.2484,2368.6462,86.52,-3
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,MONDAY,12,4101535,639735,157,4074.7452,3741.6559,108.9,2
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,TUESDAY,12,4101535,668110,157,4255.4777,3741.6559,113.73,3
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,WEDNESDAY,12,4101535,677294,157,4313.9745,3741.6559,115.3,3
