commercial_area_code,business_type,day_of_week,weight
3110002,KOREAN_FOOD,FRIDAY,2
3110002,KOREAN_FOOD,SATURDAY,-2
3110002,KOREAN_FOOD,SUNDAY,-6
3110002,CAFE_BEVERAGE,MONDAY,0
3110002,CAFE_BEVERAGE,TUESDAY,0
3110002,CAFE_BEVERAGE,WEDNESDAY,3
3110002,CAFE_BEVERAGE,THURSDAY,2
3110002,CAFE_BEVERAGE,FRIDAY,0
3110002,CAFE_BEVERAGE,SATURDAY,2
3110002,CAFE_BEVERAGE,SUNDAY,-6
3110002,BAKERY,MONDAY,1
3110002,BAKERY,TUESDAY,0
3110002,BAKERY,WEDNESDAY,2
3110002,BAKERY,THURSDAY,0
3110002,BAKERY,FRIDAY,1
3110002,BAKERY,SATURDAY,0
3110002,BAKERY,SUNDAY,-3
3110003,KOREAN_FOOD,MONDAY,5
3110003,KOREAN_FOOD,TUESDAY,3
3110003,KOREAN_FOOD,WEDNESDAY,4
3110003,KOREAN_FOOD,THURSDAY,2
3110003,KOREAN_FOOD,FRIDAY,5
3110003,KOREAN_FOOD,SATURDAY,-1
3110003,KOREAN_FOOD,SUNDAY,-6
3110003,BUNSIK,MONDAY,6
3110003,BUNSIK,TUESDAY,3
3110003,BUNSIK,WEDNESDAY,4
3110003,BUNSIK,THURSDAY,3
3110003,BUNSIK,FRIDAY,4
3110003,BUNSIK,SATURDAY,0
3110003,BUNSIK,SUNDAY,-6
3110003,CAFE_BEVERAGE,MONDAY,-6
3110003,CAFE_BEVERAGE,TUESDAY,-1
3110003,CAFE_BEVERAGE,WEDNESDAY,0
3110003,CAFE_BEVERAGE,THURSDAY,2
3110003,CAFE_BEVERAGE,FRIDAY,-5
3110003,CAFE_BEVERAGE,SATURDAY,6
3110003,CAFE_BEVERAGE,SUNDAY,5
3110003,BAKERY,MONDAY,0
3110003,BAKERY,TUESDAY,0
3110003,BAKERY,WEDNESDAY,0
3110003,BAKERY,THURSDAY,0
3110003,BAKERY,FRIDAY,-1
3110003,BAKERY,SATURDAY,1
3110003,BAKERY,SUNDAY,1
3110004,KOREAN_FOOD,MONDAY,-6
3110004,KOREAN_FOOD,TUESDAY,-6
3110004,KOREAN_FOOD,WEDNESDAY,0
3110004,KOREAN_FOOD,THURSDAY,0
3110004,KOREAN_FOOD,FRIDAY,2
3110004,KOREAN_FOOD,SATURDAY,4
3110004,KOREAN_FOOD,SUNDAY,6
3110005,KOREAN_FOOD,MONDAY,-6
3110005,KOREAN_FOOD,TUESDAY,3
3110005,KOREAN_FOOD,WEDNESDAY,2
3110005,KOREAN_FOOD,THURSDAY,2
3110005,KOREAN_FOOD,FRIDAY,3
3110005,KOREAN_FOOD,SATURDAY,4
3110005,KOREAN_FOOD,SUNDAY,-2
3110006,CAFE_BEVERAGE,MONDAY,-6
3110006,CAFE_BEVERAGE,TUESDAY,-6
3110006,CAFE_BEVERAGE,WEDNESDAY,-4
3110006,CAFE_BEVERAGE,THURSDAY,-4
3110006,CAFE_BEVERAGE,FRIDAY,-1
3110006,CAFE_BEVERAGE,SATURDAY,6
3110006,CAFE_BEVERAGE,SUNDAY,6
3110008,KOREAN_FOOD,MONDAY,3
3110008,KOREAN_FOOD,TUESDAY,-6
3110008,KOREAN_FOOD,WEDNESDAY,1
3110008,KOREAN_FOOD,THURSDAY,1
3110008,KOREAN_FOOD,FRIDAY,2
